Time (s),V_DSA-V_DSB
2.7950000000000003e-07,0.0
2.8e-07,-0.1562500096
2.805e-07,-0.1562500096
2.8100000000000004e-07,-0.3125000192
2.815e-07,-0.1562500096
2.82e-07,-0.1562500096
2.825e-07,-0.1562500096
2.8300000000000003e-07,-0.1562500096
2.835e-07,-0.1562500096
2.84e-07,-0.3125000192
2.8450000000000004e-07,-0.3125000192
2.85e-07,-0.3125000192
2.855e-07,-0.1562500096
2.86e-07,-0.1562500096
2.8650000000000003e-07,-0.1562500096
2.87e-07,-0.1562500096
2.875e-07,-0.1562500096
2.8800000000000004e-07,-0.1562500096
2.885e-07,-0.1562500096
2.89e-07,-0.3125000192
2.895e-07,-0.3125000192
2.9000000000000003e-07,-0.3125000192
2.905e-07,0.0
2.91e-07,-0.1562500096
2.9150000000000004e-07,-0.1562500096
2.92e-07,-0.1562500096
2.925e-07,-0.1562500096
2.9300000000000004e-07,-0.3125000192
2.9350000000000003e-07,-0.1562500096
2.94e-07,-0.3125000192
2.945e-07,-0.3125000192
2.9500000000000003e-07,-0.1562500096
2.955e-07,-0.1562500096
2.96e-07,-0.1562500096
2.9650000000000004e-07,-0.3125000192
2.97e-07,-0.46875002879999994
2.975e-07,-0.3125000192
2.98e-07,-0.1562500096
2.9850000000000003e-07,-0.1562500096
2.99e-07,-0.3125000192
2.995e-07,-0.1562500096
3.0000000000000004e-07,-0.3125000192
3.005e-07,-0.1562500096
3.01e-07,-0.3125000192
3.015e-07,-0.3125000192
3.0200000000000003e-07,-0.1562500096
3.025e-07,-0.1562500096
3.03e-07,-0.1562500096
3.0350000000000004e-07,-0.3125000192
3.04e-07,-0.3125000192
3.045e-07,-0.3125000192
3.0500000000000004e-07,-0.3125000192
3.0550000000000003e-07,-0.3125000192
3.06e-07,-0.1562500096
3.065e-07,-0.1562500096
3.0700000000000004e-07,-0.1562500096
3.075e-07,-0.1562500096
3.08e-07,-0.3125000192
3.0850000000000004e-07,-0.1562500096
3.0900000000000003e-07,-0.3125000192
3.095e-07,-0.3125000192
3.1e-07,-0.1562500096
3.1050000000000003e-07,-0.1562500096
3.11e-07,-0.3125000192
3.115e-07,-0.1562500096
3.1200000000000004e-07,-0.1562500096
3.125e-07,-0.1562500096
3.13e-07,-0.3125000192
3.135e-07,-0.3125000192
3.1400000000000003e-07,-0.1562500096
3.145e-07,-0.1562500096
3.15e-07,-0.3125000192
3.1550000000000004e-07,-0.1562500096
3.16e-07,-0.3125000192
3.165e-07,-0.1562500096
3.1700000000000005e-07,-0.1562500096
