Name,VDS_A,,,Name,VDS_B,,,Name,V_MR,,,Name,VOUT_RF,,,
1928934.01015228,-90.7250061035156,-104.433891296387,,1928934.01015228,-91.9265060424805,-102.231651306152,,1928934.01015228,6.01717983857334E-06,1.34549535779224E-06,,1928934.01015228,15.1847607733407,3.16266604677816,,
1979695.43147208,-92.2754211425781,-102.151756286621,,1979695.43147208,-92.7730331420898,-102.624061584473,,1979695.43147208,5.94720569078651E-06,1.68640649655927E-06,,1979695.43147208,15.2505566717782,3.77673312441488,,
2030456.85279188,-92.5879211425781,-104.392204284668,,2030456.85279188,-91.8821563720703,-104.73176574707,,2030456.85279188,5.5130233651761E-06,1.5671931125775E-06,,2030456.85279188,15.2513119818368,0.790595734278156,,
2081218.27411168,-91.1318359375,-106.271667480469,,2081218.27411168,-91.4401779174805,-103.047721862793,,2081218.27411168,5.19877677831589E-06,1.67923608007772E-06,,2081218.27411168,13.2178570868172,1.93208285586019,,
2131979.69543147,-91.6628875732422,-106.32006072998,,2131979.69543147,-92.6675872802734,-106.095657348633,,2131979.69543147,4.9209031387046E-06,1.28461511316444E-06,,2131979.69543147,15.1236188055672,3.34950228945394,,
2182741.11675127,-92.4237747192383,-103.62525177002,,2182741.11675127,-93.1419982910156,-104.538284301758,,2182741.11675127,4.52817358299795E-06,1.37592030113143E-06,,2182741.11675127,15.8920895697274,4.94844790712972,,
2233502.53807107,-92.3234100341797,-104.868003845215,,2233502.53807107,-94.3660354614258,-107.198112487793,,2233502.53807107,5.24275381639671E-06,1.41507955005978E-06,,2233502.53807107,13.8841549994149,2.09600802675863,,
2284263.95939086,-93.9637603759766,-104.666168212891,,2284263.95939086,-93.029167175293,-105.356643676758,,2284263.95939086,5.09812874499989E-06,1.4157521503933E-06,,2284263.95939086,13.7180859686532,3.14645358339925,,
2335025.38071066,-93.3488464355469,-103.666107177734,,2335025.38071066,-93.3148803710938,-105.745750427246,,2335025.38071066,4.51040570916022E-06,1.28845388613433E-06,,2335025.38071066,13.3919140936532,2.31820651308675,,
2385786.80203046,-92.4238510131836,-102.811363220215,,2385786.80203046,-92.0087890625,-103.056053161621,,2385786.80203046,4.88808964132392E-06,1.58243517959372E-06,,2385786.80203046,14.4426266791024,2.59428378359456,,
2436548.22335025,-94.0093307495117,-104.565696716309,,2436548.22335025,-92.324821472168,-104.516334533691,,2436548.22335025,5.33662491440265E-06,1.12505009663542E-06,,2436548.22335025,14.9718014837899,1.79680606142659,,
2487309.64467005,-93.1597061157227,-105.874938964844,,2487309.64467005,-93.6135482788086,-104.810424804688,,2487309.64467005,4.42908714930672E-06,1.1546683498063E-06,,2487309.64467005,13.4300000311532,1.47176333681722,,
