Time (s),VGS_A,VGS_B,VDS_A,VDS_B,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN""]"
1.97e-07,-0.42187491840000013,-0.1093748992000001,44.999999488,-2.4999956480000023,3072
1.9750000000000001e-07,-0.2656249088,0.12500011519999976,46.874999296,-1.2499957760000058,3072
1.98e-07,-0.2656249088,0.5156251392,49.37499904,-0.624995840000004,3072
1.985e-07,-0.18749990400000005,0.6718751487999999,48.749999104,-1.2499957760000058,3072
1.9900000000000002e-07,-0.2656249088,0.9843751679999997,45.624999424,-1.8749957120000005,3072
1.995e-07,-0.3437499136000002,1.5312502015999998,43.12499968,-0.624995840000004,3072
2.0000000000000002e-07,-0.3437499136000002,2.2343752448,43.749999616,0.6250040319999997,3072
2.005e-07,-0.18749990400000005,2.937500288,44.374999552,0.6250040319999997,3072
2.01e-07,-0.031249894400000144,3.5625003263999995,44.374999552,0.6250040319999997,3072
2.0150000000000002e-07,-0.1093748992000001,3.8750003455999993,44.374999552,-0.624995840000004,3072
2.02e-07,-0.2656249088,4.031250355199999,43.749999616,-2.4999956480000023,3072
2.0250000000000002e-07,-0.4999999232000001,4.1875003648,42.499999744,-2.4999956480000023,3072
2.03e-07,-0.2656249088,4.3437503744,43.12499968,-1.8749957120000005,3072
2.0350000000000002e-07,-0.031249894400000144,4.578125388799999,41.874999808,-1.8749957120000005,3072
2.04e-07,0.04687511039999981,4.8125004032,42.499999744,-2.4999956480000023,3072
2.045e-07,-0.1093748992000001,4.890625407999999,39.375000064,-2.4999956480000023,3072
2.0500000000000002e-07,-0.18749990400000005,5.0468754176,39.375000064,-3.749995519999999,3072
2.055e-07,-0.18749990400000005,5.281250431999999,38.750000127999996,-2.4999956480000023,3072
2.0600000000000002e-07,-0.18749990400000005,5.593750451199999,40.624999936,-2.4999956480000023,3072
2.065e-07,-0.1093748992000001,5.6718754559999995,41.249999872000004,-0.624995840000004,3072
2.0700000000000001e-07,-0.18749990400000005,5.6718754559999995,39.375000064,-1.2499957760000058,3072
2.0750000000000003e-07,-0.1093748992000001,5.6718754559999995,37.500000256,-1.2499957760000058,3072
2.08e-07,-0.18749990400000005,5.750000460799999,37.500000256,-1.2499957760000058,3072
2.0850000000000002e-07,-0.18749990400000005,5.6718754559999995,37.500000256,-1.2499957760000058,3072
2.09e-07,-0.1093748992000001,5.593750451199999,37.500000256,-1.2499957760000058,3072
2.0950000000000002e-07,-0.031249894400000144,5.593750451199999,38.125000192,-1.2499957760000058,3072
2.1e-07,-0.031249894400000144,5.5156254464,38.125000192,-2.4999956480000023,3072
2.105e-07,-0.2656249088,5.3593754368,37.500000256,-2.4999956480000023,3072
2.1100000000000002e-07,-0.18749990400000005,5.281250431999999,36.87500032,-1.8749957120000005,3072
2.115e-07,-0.1093748992000001,5.281250431999999,36.250000384,-2.4999956480000023,3072
2.1200000000000002e-07,-0.1093748992000001,5.0468754176,38.125000192,-2.4999956480000023,3072
2.125e-07,-0.18749990400000005,5.0468754176,37.500000256,-2.4999956480000023,3072
2.1300000000000001e-07,-0.18749990400000005,4.9687504127999995,37.500000256,-2.4999956480000023,3072
2.1350000000000003e-07,-0.1093748992000001,4.890625407999999,36.87500032,-1.8749957120000005,3072
2.14e-07,-0.2656249088,4.9687504127999995,36.87500032,-1.8749957120000005,3072
2.1450000000000002e-07,-0.2656249088,4.8125004032,38.125000192,-1.2499957760000058,3072
2.15e-07,-0.18749990400000005,4.578125388799999,38.125000192,-1.2499957760000058,3072
2.1550000000000002e-07,-0.1093748992000001,4.6562503936,37.500000256,-2.4999956480000023,3072
2.16e-07,-0.1093748992000001,4.578125388799999,38.750000127999996,-2.4999956480000023,3072
2.165e-07,-0.031249894400000144,4.6562503936,38.125000192,-2.4999956480000023,3072
2.1700000000000002e-07,-0.1093748992000001,4.734375398399999,38.125000192,-2.4999956480000023,3072
2.175e-07,-0.18749990400000005,4.578125388799999,38.750000127999996,-1.8749957120000005,3072
2.1800000000000002e-07,-0.1093748992000001,4.578125388799999,40.0,-1.2499957760000058,3072
2.185e-07,-0.18749990400000005,4.6562503936,39.375000064,-1.2499957760000058,3072
2.1900000000000002e-07,-0.18749990400000005,4.734375398399999,40.0,-1.2499957760000058,3072
2.1950000000000003e-07,-0.2656249088,4.734375398399999,39.375000064,-1.8749957120000005,3072
2.2e-07,-0.18749990400000005,4.734375398399999,40.624999936,-1.8749957120000005,3072
2.2050000000000002e-07,-0.18749990400000005,4.8125004032,40.624999936,-1.2499957760000058,3072
2.21e-07,-0.1093748992000001,4.734375398399999,42.499999744,-1.8749957120000005,3072
2.2150000000000002e-07,-0.18749990400000005,4.8125004032,41.874999808,-2.4999956480000023,3072
2.22e-07,-0.2656249088,4.890625407999999,43.12499968,-3.124995584000004,3072
2.2250000000000001e-07,-0.1093748992000001,4.8125004032,43.12499968,-2.4999956480000023,3072
2.2300000000000002e-07,-0.18749990400000005,4.8125004032,44.374999552,-2.4999956480000023,2048
2.235e-07,-0.18749990400000005,4.890625407999999,44.999999488,-3.124995584000004,2048
2.2400000000000002e-07,-0.1093748992000001,4.890625407999999,46.249999360000004,-1.8749957120000005,2048
2.245e-07,-0.1093748992000001,4.890625407999999,45.624999424,-1.8749957120000005,2048
2.2500000000000002e-07,-0.1093748992000001,4.9687504127999995,45.624999424,-1.2499957760000058,2048
2.255e-07,-0.18749990400000005,4.9687504127999995,46.249999360000004,-1.8749957120000005,2048
2.26e-07,-0.18749990400000005,4.9687504127999995,47.499999232,-1.8749957120000005,0
2.2650000000000002e-07,-0.18749990400000005,4.9687504127999995,48.749999104,-1.8749957120000005,0
2.27e-07,-0.18749990400000005,5.0468754176,49.37499904,-1.8749957120000005,0
2.2750000000000002e-07,-0.1093748992000001,4.9687504127999995,49.37499904,-2.4999956480000023,0
2.28e-07,-0.18749990400000005,4.9687504127999995,50.624998912,-2.4999956480000023,0
2.2850000000000001e-07,-0.2656249088,4.890625407999999,50.624998912,-2.4999956480000023,0
2.2900000000000003e-07,-0.18749990400000005,4.890625407999999,51.249998848000004,-2.4999956480000023,0
2.295e-07,-0.1093748992000001,4.9687504127999995,51.249998848000004,-1.8749957120000005,0
2.3000000000000002e-07,-0.2656249088,4.9687504127999995,51.874998784,-2.4999956480000023,0
2.305e-07,-0.2656249088,4.9687504127999995,53.124998656,-1.2499957760000058,0
2.3100000000000002e-07,-0.2656249088,4.9687504127999995,53.749998592,-1.2499957760000058,0
2.315e-07,-0.18749990400000005,5.0468754176,53.749998592,-1.2499957760000058,0
2.32e-07,-0.18749990400000005,5.0468754176,54.999998464,-1.8749957120000005,0
2.3250000000000002e-07,-0.031249894400000144,4.9687504127999995,54.374998528,-2.4999956480000023,0
2.33e-07,-0.1093748992000001,4.890625407999999,54.374998528,-1.8749957120000005,0
2.3350000000000002e-07,-0.18749990400000005,4.9687504127999995,53.749998592,-2.4999956480000023,0
2.34e-07,-0.18749990400000005,4.9687504127999995,55.6249984,-3.124995584000004,0
2.3450000000000002e-07,-0.18749990400000005,4.890625407999999,55.6249984,-2.4999956480000023,0
2.3500000000000003e-07,-0.2656249088,4.890625407999999,55.6249984,-1.2499957760000058,0
2.355e-07,-0.18749990400000005,4.8125004032,54.999998464,-1.8749957120000005,0
2.3600000000000002e-07,-0.18749990400000005,4.8125004032,56.249998336000004,-2.4999956480000023,0
2.365e-07,-0.1093748992000001,4.890625407999999,56.249998336000004,-1.8749957120000005,0
2.3700000000000002e-07,-0.031249894400000144,4.890625407999999,55.6249984,-1.8749957120000005,0
2.375e-07,0.04687511039999981,4.890625407999999,54.374998528,-1.8749957120000005,0
2.3800000000000001e-07,-0.18749990400000005,4.890625407999999,54.374998528,-1.8749957120000005,0
2.385e-07,-0.18749990400000005,4.8125004032,54.999998464,-0.624995840000004,0
2.39e-07,-0.2656249088,4.890625407999999,54.374998528,-1.2499957760000058,0
2.395e-07,-0.18749990400000005,4.8125004032,53.749998592,-1.8749957120000005,0
2.4000000000000003e-07,-0.1093748992000001,4.8125004032,54.374998528,-1.8749957120000005,0
2.405e-07,-0.1093748992000001,4.8125004032,54.374998528,-2.4999956480000023,0
2.41e-07,-0.1093748992000001,4.890625407999999,53.124998656,-1.2499957760000058,0
